"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5410003";"";"None";"250.32";"0";"3.04";"217";"CCCNc1nc(-c2ccc(O)cc2O)cs1";"IC50";"'='";"6200.0";"nM";"5.21";"";"";"UO_0000065";"20.80";"0.42";"2.17";"7.97";"0";"CHEMBL5331159";"Inhibition of human tyrosinase using L-DOPA as substrate incubated for 10 to 20 mins by MBTH dye based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331042";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME_Lower = 10.0 min | TIME_Upper = 20.0 min";"INHIBITOR";"";"6.2"
"CHEMBL3898657";"";"None";"111.10";"0";"0.03";"HOPNO; 2";"[O-][n+]1ccccc1O";"IC50";"'='";"1300000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL5326168";"Inhibition of tyrosinase in human MNT-1 cell lysates assessed as inhibition of melanin production using L-DOPA as substrate measured after 3 hrs";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5325409";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 3.0 hr";"INHIBITOR";"";"1300.0"
"CHEMBL5434506";"";"None";"234.64";"0";"-0.96";"(+)-11";"Cl.N[C@@H](Cc1ccc(=O)n(O)c1)C(=O)O";"IC50";"'='";"73600.0";"nM";"4.13";"";"";"UO_0000065";"20.86";"0.40";"5.09";"3.92";"0";"CHEMBL5326168";"Inhibition of tyrosinase in human MNT-1 cell lysates assessed as inhibition of melanin production using L-DOPA as substrate measured after 3 hrs";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5325409";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 3.0 hr";"INHIBITOR";"";"73.6"
"CHEMBL399354";"";"None";"290.27";"0";"1.91";"3";"O=C(OCCc1ccccc1O)c1cc(O)c(O)c(O)c1";"IC50";"'='";"14500.0";"nM";"4.84";"";"";"UO_0000065";"16.67";"0.31";"2.93";"4.51";"0";"CHEMBL940816";"Inhibition of tyrosinase in Melan-a cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Melan-a";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139787";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"14.5"
"CHEMBL5092669";"";"None";"537.57";"2";"0.77";"TD-9";"N[C@@H](Cc1ccc(O)c(O)c1)C(=O)NCCCCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O";"IC50";"'='";"112700.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5035572";"Inhibition of human tyrosinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5034028";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"";"INHIBITOR";"";"112.7"
"CHEMBL232202";"ARBUTIN";"2.0";"272.25";"0";"-1.43";"Arbutin";"OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"32000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL814342";"Inhibitory activity against mushroom tyrosinase";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136117";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"32.0"
"CHEMBL24147";"RESORCINOL";"4.0";"110.11";"0";"1.10";"Resorcinol";"Oc1cccc(O)c1";"IC50";"'>'";"3000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4723101";"Inhibition of human His-tagged tyrosinase expressed in HEK 293 cells using L-DOPA as substrate by MBTH based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715852";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"3000.0"
"CHEMBL232202";"ARBUTIN";"2.0";"272.25";"0";"-1.43";"Arbutin";"OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"6500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL4723101";"Inhibition of human His-tagged tyrosinase expressed in HEK 293 cells using L-DOPA as substrate by MBTH based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715852";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"INHIBITOR";"";"6500.0"
"CHEMBL4795966";"";"None";"312.35";"0";"3.47";"46";"O=C(Nc1nc(-c2ccc(O)cc2O)cs1)c1ccccc1";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"17.94";"0.35";"2.13";"6.79";"0";"CHEMBL4723114";"Inhibition of human tyrosinase using L- DOPA as substrate by MBTH based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715852";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"INHIBITOR";"";"2.5"
"CHEMBL3093489";"";"None";"258.23";"0";"2.37";"20";"COc1c(O)cc2oc3ccccc3c(=O)c2c1O";"IC50";"'='";"3010.0";"nM";"5.52";"";"";"UO_0000065";"21.38";"0.40";"3.15";"6.91";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"3.01"
"CHEMBL1275999";"GAMMA-THUJAPLICIN";"None";"164.20";"0";"1.88";"gamma-Thujaplicin";"CC(C)c1ccc(O)c(=O)cc1";"IC50";"'='";"1150.0";"nM";"5.94";"";"";"UO_0000065";"36.17";"0.68";"4.06";"15.92";"0";"CHEMBL3388379";"Competitive inhibition of tyrosinase in human G-361 cells incubated for 10 mins measured for 2 hrs by MBTH-based spectrophotometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"G-361";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352108";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"CHEMBL3307514";"";"";"";"1.15"
"CHEMBL287556";"KOJIC ACID";"None";"142.11";"0";"-0.16";"Kojic acid";"O=c1cc(CO)occ1O";"IC50";"'='";"125000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL982333";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146595";"1";"Scientific Literature";"J Nat Prod";"2003";"None";"";"";"";"125.0"
"CHEMBL4757912";"";"None";"322.27";"0";"0.00";"3";"O=C(/C=C/c1ccc(O)cc1)OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"15.51";"0.30";"None";"3.74";"0";"CHEMBL4723119";"Inhibition of human tyrosinase expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715852";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"INHIBITOR";"";"10.0"
"CHEMBL4460139";"";"None";"477.55";"0";"1.30";"3";"C=C[C@]1(C)C[C@H](OC(=O)/C(=C/C)CO)[C@@H]2[C@H](OC(=O)[C@H]2CN2CCC[C@H]2C(=O)O)[C@H]1C(=C)CO";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4393647";"Inhibition of tyrosinase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4392888";"1";"Scientific Literature";"J Nat Prod";"2019";"None";"";"";"";"50.0"
"CHEMBL200198";"";"None";"270.24";"0";"2.58";"Figure1, R2C1";"O=c1oc2cc(O)ccc2cc1-c1cc(O)cc(O)c1";"IC50";"'>'";"10000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1780390";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1777693";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"10.0"
"CHEMBL3907670";"";"None";"271.23";"0";"1.41";"106";"O=C1/C(=C/c2ccc(=O)n(O)c2)Oc2cccc(O)c21";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"16.68";"0.31";"3.11";"5.10";"1";"CHEMBL4411361";"Inhibition of recombinant human tyrosinase expressed in baculovirus infected Sf9 cells using L-DOPA as substrate by spectrophotometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4411257";"1";"Scientific Literature";"J Med Chem";"2018";"CHEMBL3308860";"";"";"";"30.0"
"CHEMBL4762742";"";"None";"379.21";"0";"4.04";"28";"COc1ccc2c(=O)c3c(C)c(Br)c(OC)c(OC)c3oc2c1";"IC50";"'='";"5570.0";"nM";"5.25";"";"";"UO_0000065";"13.86";"0.31";"1.21";"9.07";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"5.57"
"CHEMBL185895";"";"None";"242.23";"0";"2.66";"18";"COc1c(O)ccc2c(=O)c3ccccc3oc12";"IC50";"'='";"3810.0";"nM";"5.42";"";"";"UO_0000065";"22.37";"0.41";"2.76";"9.08";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"3.81"
"CHEMBL1275969";"ALPHA-THUJAPLICIN";"None";"164.20";"0";"1.88";"alpha-Thujaplicin";"CC(C)c1ccccc(=O)c1O";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3388379";"Competitive inhibition of tyrosinase in human G-361 cells incubated for 10 mins measured for 2 hrs by MBTH-based spectrophotometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"G-361";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352108";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"CHEMBL3307514";"";"";"";"1000.0"
"CHEMBL497444";"FORTUNEANOSIDE B";"None";"438.43";"0";"0.26";"2, fortuneanoside B";"COc1ccccc1-c1cc(OC)c(O)c(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O";"IC50";"'='";"2210000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL980232";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142601";"1";"Scientific Literature";"J Nat Prod";"2006";"None";"";"";"";"2.21"
"CHEMBL3978212";"";"None";"271.23";"0";"1.41";"1a";"O=C1/C(=C/c2ccc(=O)n(O)c2)Oc2cc(O)ccc21";"IC50";"'='";"16600.0";"nM";"4.78";"";"";"UO_0000065";"17.62";"0.33";"3.37";"5.39";"0";"CHEMBL3871140";"Inhibition of tyrosinase in human MNT1 cell lysate pretreated prior to addition of L-DOPA as substrate measured after 3 hrs";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MNT1";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3870357";"1";"Scientific Literature";"ACS Med Chem Lett";"2017";"None";"";"";"";"16.6"
"CHEMBL219219";"";"None";"272.30";"0";"3.29";"3";"COc1cc(O)cc(/C=C/c2ccc(O)cc2OC)c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL854613";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139674";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"100.0"
"CHEMBL232202";"ARBUTIN";"2.0";"272.25";"0";"-1.43";"Arbutin";"OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"164000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4411347";"Inhibition of tyrosinase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4411257";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"164.0"
"CHEMBL458395";"";"None";"288.25";"0";"2.22";"84";"O=C1C[C@@H](c2ccc(O)cc2O)Oc2cc(O)cc(O)c21";"IC50";"'='";"980.0";"nM";"6.01";"";"";"UO_0000065";"20.85";"0.39";"3.79";"5.60";"0";"CHEMBL4411347";"Inhibition of tyrosinase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4411257";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"0.98"
"CHEMBL4754324";"";"None";"300.27";"0";"2.48";"23";"COc1cc(C=O)c2c(=O)c3ccc(O)cc3oc2c1OC";"IC50";"'='";"3160.0";"nM";"5.50";"";"";"UO_0000065";"18.32";"0.34";"3.02";"6.40";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"3.16"
"CHEMBL1434162";"";"None";"256.26";"0";"2.96";"16";"COc1cc2oc3ccccc3c(=O)c2cc1OC";"IC50";"'='";"8290.0";"nM";"5.08";"";"";"UO_0000065";"19.83";"0.37";"2.12";"10.44";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"8.29"
"CHEMBL232202";"ARBUTIN";"2.0";"272.25";"0";"-1.43";"Arbutin";"OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"230000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL980232";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142601";"1";"Scientific Literature";"J Nat Prod";"2006";"None";"";"";"";"0.23"
"CHEMBL394855";"";"None";"272.26";"0";"2.41";"71; 85";"O=C(/C=C/c1ccc(O)cc1O)c1ccc(O)cc1O";"IC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"26.28";"0.49";"4.74";"7.30";"0";"CHEMBL4411347";"Inhibition of tyrosinase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4411257";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"0.07"
"CHEMBL232202";"ARBUTIN";"2.0";"272.25";"0";"-1.43";"Arbutin";"OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"'='";"6500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4411356";"Inhibition of human tyrosinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4411257";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"6500.0"
"CHEMBL4166817";"";"None";"256.21";"0";"2.17";"21";"O=Cc1cc(O)c(O)c2oc3ccccc3c(=O)c12";"IC50";"'='";"89370.0";"nM";"4.05";"";"";"UO_0000065";"15.80";"0.29";"1.88";"4.61";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"89.37"
"CHEMBL4793245";"";"None";"242.23";"0";"2.67";"24";"Cc1cc(O)c(O)c2oc3ccccc3c(=O)c12";"IC50";"'='";"8930.0";"nM";"5.05";"";"";"UO_0000065";"20.84";"0.38";"2.38";"7.14";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"8.93"
"CHEMBL1329457";"";"None";"270.32";"0";"3.05";"210";"Oc1ccc(-c2csc(Nc3ncccn3)n2)cc1";"IC50";"'='";"19000.0";"nM";"4.72";"";"";"UO_0000065";"17.47";"0.34";"1.67";"6.66";"0";"CHEMBL5331159";"Inhibition of human tyrosinase using L-DOPA as substrate incubated for 10 to 20 mins by MBTH dye based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331042";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME_Lower = 10.0 min | TIME_Upper = 20.0 min";"INHIBITOR";"";"19.0"
"CHEMBL5435329";"";"None";"318.40";"0";"3.28";"214";"O=C(NC1CCCCC1)c1nc(-c2ccc(O)cc2O)cs1";"IC50";"'='";"56000.0";"nM";"4.25";"";"";"UO_0000065";"13.35";"0.26";"0.97";"5.16";"0";"CHEMBL5331159";"Inhibition of human tyrosinase using L-DOPA as substrate incubated for 10 to 20 mins by MBTH dye based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331042";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME_Lower = 10.0 min | TIME_Upper = 20.0 min";"INHIBITOR";"";"56.0"
"CHEMBL4743159";"";"None";"278.33";"0";"2.82";"219";"CC(C)C(=O)Nc1nc(-c2ccc(O)cc2O)cs1";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"21.03";"0.42";"3.03";"7.10";"0";"CHEMBL5331159";"Inhibition of human tyrosinase using L-DOPA as substrate incubated for 10 to 20 mins by MBTH dye based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331042";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME_Lower = 10.0 min | TIME_Upper = 20.0 min";"INHIBITOR";"";"1.4"
"CHEMBL4763799";"";"None";"300.31";"0";"3.28";"29";"COc1ccc2c(=O)c3c(C)cc(OC)c(OC)c3oc2c1";"IC50";"'='";"2240.0";"nM";"5.65";"";"";"UO_0000065";"18.81";"0.35";"2.37";"9.76";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"2.24"
"CHEMBL185960";"";"None";"212.20";"0";"2.65";"3";"O=c1c2ccccc2oc2ccc(O)cc12";"IC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"24.75";"0.45";"2.60";"10.41";"0";"CHEMBL4678137";"Inhibition of Tyrosinase (unknown origin) using tyrosine as substrate incubated for 20 mins followed by substrate addition and measured every 10 mins for 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673324";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 0.8333 hr";"INHIBITOR";"";"5.6"
"CHEMBL5427200";"";"None";"284.27";"0";"2.72";"11";"COc1cccc2c1O/C(=C\c1ccc(O)cc1O)C2=O";"IC50";"'='";"80000.0";"nM";"4.10";"";"";"UO_0000065";"14.41";"0.27";"1.38";"5.39";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"80.0"
"CHEMBL218269";"";"None";"272.30";"0";"3.29";"4";"COc1cc(O)cc(/C=C/c2ccc(OC)cc2O)c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL854613";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139674";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"100.0"
"CHEMBL5394983";"";"None";"268.27";"0";"2.63";"22";"O=C1/C(=C/c2ccc(O)cc2O)Cc2cc(O)ccc21";"IC50";"'='";"3400.0";"nM";"5.47";"";"";"UO_0000065";"20.38";"0.37";"2.84";"7.03";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"3.4"
"CHEMBL5403418";"";"None";"253.26";"0";"2.75";"26";"O=C1/C(=C/c2ccc(O)cc2O)Nc2ccccc21";"IC50";"'='";"12700.0";"nM";"4.90";"";"";"UO_0000065";"19.33";"0.35";"2.15";"7.04";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"12.7"
